signal_id,timestamp,direction,signal_state,outcome,btc_price,confidence,entry_zone_low,entry_zone_high,stop_loss,target_1,target_2,risk_reward_ratio,setup_type,market_bias,whale_direction,liquidity_direction,pnl_percent,outcome_notes,status
708b3aa6-223e-4195-8167-bb742fdb916c,2026-03-14T22:40:42.632000,NO TRADE,NO_TRADE,,70781.6,60.0,70073.78,71489.42,0.0,0.0,0.0,0.0,standard,NEUTRAL,SELL,UP,,,invalidated
b5968a56-cf35-4cae-97c6-fdef28a6395b,2026-03-14T22:39:42.755000,SHORT,OPERATIONAL,,70812.7,45.0,70812.7,70799.46,71414.8,70200.0,68971.6,1.02,sweep_reversal,BEARISH,SELL,UP,,,invalidated
62acf96f-f603-4e27-a4ce-875ec1d04d1b,2026-03-14T22:39:42.748000,SHORT,SETUP_IN_CONFIRMATION,,70812.7,45.0,70812.7,70799.46,71414.8,70200.0,68971.6,1.02,sweep_reversal,BEARISH,SELL,UP,,,confirmed
9c9dbb6f-eca6-44b4-8e59-22405db70764,2026-03-14T22:38:10.444000,SHORT,OPERATIONAL,,70812.7,45.0,70812.7,70802.32,71414.8,70200.0,68971.6,1.02,sweep_reversal,BEARISH,SELL,UP,,,confirmed
5d36b1c9-ca71-439c-bcca-e6b2bf3e01c6,2026-03-14T22:38:10.129000,SHORT,SETUP_IN_CONFIRMATION,,70812.7,45.0,70812.7,70802.32,71414.8,70200.0,68971.6,1.02,sweep_reversal,BEARISH,SELL,UP,,,confirmed
f63c5501-406c-4942-a2cb-2ea55a34b138,2026-03-14T21:46:23.912000,NO TRADE,NO_TRADE,,70723.3,50.0,70016.07,71430.53,0.0,0.0,0.0,0.0,standard,NEUTRAL,SELL,UP,,,setup_invalidated
2da47e94-1151-4d75-884f-bfeb93144c16,2026-03-14T21:45:23.872000,SHORT,SETUP_IN_CONFIRMATION,,70752.4,54.6,70752.4,70745.77,71414.8,70200.0,68971.6,0.83,sweep_reversal,BEARISH,SELL,UP,,,setup_invalidated
ecc0904d-9441-4a93-b36a-27267f956785,2026-03-14T21:44:24.419000,NO TRADE,NO_TRADE,,70766.7,45.0,70059.03,71474.37,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,SELL,UP,,,setup_invalidated
193afe02-79fa-400b-962f-3939f756dac1,2026-03-14T21:43:24.158000,SHORT,SETUP_IN_CONFIRMATION,,70752.5,54.6,70752.5,70745.79,71414.8,70200.0,68971.6,0.83,sweep_reversal,BEARISH,SELL,UP,,,setup_invalidated
56760ddc-16e1-46a0-a79a-1b019613ea3a,2026-03-14T21:00:34.164000,NO TRADE,NO_TRADE,,70779.0,50.0,70071.21,71486.79,0.0,0.0,0.0,0.0,standard,NEUTRAL,NEUTRAL,UP,,,invalidated
587fc4cd-0ff5-4f29-a6b8-804d82b12eb9,2026-03-14T20:59:29.377000,SHORT,OPERATIONAL,,70833.1,45.0,70833.1,70787.1,71414.8,70200.0,68971.6,1.09,sweep_reversal,BEARISH,NEUTRAL,UP,,,invalidated
